family	upstream_symbol	upstream_signature	header_path_line	feature_gate	overload_disposition	go_symbol	go_signature	input_unit	output_unit	result_shape	count_meaning	destination_precondition	alias_contract	scalar_source	amd64_source	arm64_source	test_source	fuzz_source	benchmark_source	status	milestone	exclusion_reason
Result/error	simdutf::error_code	enum error_code { SUCCESS=0, HEADER_BITS=1, TOO_SHORT=2, TOO_LONG=3, OVERLONG=4, TOO_LARGE=5, SURROGATE=6, INVALID_BASE64_CHARACTER=7, BASE64_INPUT_REMAINDER=8, BASE64_EXTRA_BITS=9, OUTPUT_BUFFER_TOO_SMALL=10, OTHER=11 }	include/simdutf/error.h:7	always	enum declaration	ErrorCode	type ErrorCode uint8; const ( Success ErrorCode = 0; HeaderBits = 1; TooShort = 2; TooLong = 3; Overlong = 4; TooLarge = 5; Surrogate = 6; InvalidBase64Character = 7; Base64InputRemainder = 8; Base64ExtraBits = 9; OutputBufferTooSmall = 10; Other = 11 )	error code value	not_applicable	public type/constant	field meanings are operation-specific; exact values preserved	not_applicable	not_applicable	include/simdutf/error.h	not_applicable: public type/constant	not_applicable: public type/constant	tests; exact value tests required in Go	not_applicable: public type/constant	not_applicable: public type/constant	implemented	611becc-current-api	not_applicable
Result/error	simdutf::result	struct result { error_code error; size_t count; }	include/simdutf/error.h:76	always	struct declaration	Result	type Result struct { Error ErrorCode; Count int }	result fields	not_applicable	public type/constant	field meanings are operation-specific; exact values preserved	not_applicable	not_applicable	include/simdutf/error.h	not_applicable: public type/constant	not_applicable: public type/constant	tests; exact value tests required in Go	not_applicable: public type/constant	not_applicable: public type/constant	implemented	611becc-current-api	not_applicable
Result/error	simdutf::full_result	struct full_result { error_code error; size_t input_count; size_t output_count; bool padding_error; }	include/simdutf/error.h:98	always	struct declaration	FullResult	type FullResult struct { Error ErrorCode; InputCount int; OutputCount int; PaddingError bool }	result fields	not_applicable	public type/constant	field meanings are operation-specific; exact values preserved	not_applicable	not_applicable	include/simdutf/error.h	not_applicable: public type/constant	not_applicable: public type/constant	tests; exact value tests required in Go	not_applicable: public type/constant	not_applicable: public type/constant	implemented	611becc-current-api	not_applicable
Encoding detection	simdutf::encoding_type	enum encoding_type { unspecified=0, UTF8=1, UTF16_LE=2, UTF16_BE=4, UTF32_LE=8, UTF32_BE=16, Latin1=32 }	include/simdutf/encoding_types.h:15	always	enum declaration	Encoding	type Encoding uint8; const ( Unspecified Encoding = 0; UTF8 = 1; UTF16LE = 2; UTF16BE = 4; UTF32LE = 8; UTF32BE = 16; Latin1 = 32 )	encoding bitset	not_applicable	public type/constant	field meanings are operation-specific; exact values preserved	not_applicable	not_applicable	include/simdutf/encoding_types.h	not_applicable: public type/constant	not_applicable: public type/constant	tests; exact value tests required in Go	not_applicable: public type/constant	not_applicable: public type/constant	implemented	611becc-current-api	not_applicable
Encoding detection	simdutf::endianness	enum endianness { LITTLE=0, BIG=1, NATIVE=platform }	include/simdutf/encoding_types.h:30	always	excluded with exact evidence	not_applicable	not_applicable: Go native-endian delegation uses encoding/binary.NativeEndian internally	endianness value	not_applicable	excluded C++ helper type	not_applicable	not_applicable	not_applicable	include/simdutf/encoding_types.h	not_applicable: no exported Go symbol	not_applicable: no exported Go symbol	tests; native and explicit-endian equivalence is tested through public operations	not_applicable: no accelerated variant	not_applicable: helper has no upstream benchmark procedure	excluded	upstream-excluded	C++ compile-time native-endian selector type; Section 5.3 requires internal Go encoding/binary.NativeEndian delegation, not an exported convenience API
Base64	simdutf::default_line_length	constexpr size_t default_line_length = 76	include/simdutf/implementation.h:187	always	constant declaration	DefaultLineLength	const DefaultLineLength int = 76	byte count	not_applicable	public type/constant	field meanings are operation-specific; exact values preserved	not_applicable	not_applicable	include/simdutf/implementation.h	not_applicable: public type/constant	not_applicable: public type/constant	tests; exact value tests required in Go	not_applicable: public type/constant	not_applicable: public type/constant	implemented	611becc-current-api	not_applicable
Base64	simdutf::base64_options	enum base64_options : uint64_t { base64_default=0, base64_url=1, base64_default_no_padding=2, base64_url_with_padding=3, base64_default_accept_garbage=4, base64_url_accept_garbage=5, base64_default_or_url=8, base64_default_or_url_accept_garbage=12 }	include/simdutf/implementation.h:4100	SIMDUTF_FEATURE_BASE64	enum declaration	Base64Options	type Base64Options uint64; const ( Base64Default Base64Options = 0; Base64URL = 1; Base64DefaultNoPadding = 2; Base64URLWithPadding = 3; Base64DefaultAcceptGarbage = 4; Base64URLAcceptGarbage = 5; Base64DefaultOrURL = 8; Base64DefaultOrURLAcceptGarbage = 12 )	option bits	not_applicable	public type/constant	field meanings are operation-specific; exact values preserved	not_applicable	not_applicable	include/simdutf/implementation.h	not_applicable: public type/constant	not_applicable: public type/constant	tests; exact value tests required in Go	not_applicable: public type/constant	not_applicable: public type/constant	implemented	611becc-current-api	not_applicable
Base64	simdutf::base64_reverse_padding	constexpr uint64_t base64_reverse_padding = 2	include/simdutf/implementation.h:4098	SIMDUTF_FEATURE_BASE64	constant declaration	Base64ReversePadding	const Base64ReversePadding uint64 = 2	option modifier value	not_applicable	public constant	modifier value 2 used with base64_default and base64_url	not_applicable	not_applicable	include/simdutf/implementation.h:4098-4099	not_applicable: public constant	not_applicable: public constant	tests; exact constant value and option-composition tests required in Go	not_applicable: public constant	not_applicable: public constant	implemented	611becc-current-api	not_applicable
Base64	simdutf::last_chunk_handling_options	enum last_chunk_handling_options : uint64_t { loose=0, strict=1, stop_before_partial=2, only_full_chunks=3 }	include/simdutf/implementation.h:4125	SIMDUTF_FEATURE_BASE64	enum declaration	LastChunkHandlingOptions	type LastChunkHandlingOptions uint64; const ( Loose LastChunkHandlingOptions = 0; Strict = 1; StopBeforePartial = 2; OnlyFullChunks = 3 )	option value	not_applicable	public type/constant	field meanings are operation-specific; exact values preserved	not_applicable	not_applicable	include/simdutf/implementation.h	not_applicable: public type/constant	not_applicable: public type/constant	tests; exact value tests required in Go	not_applicable: public type/constant	not_applicable: public type/constant	implemented	611becc-current-api	not_applicable
Result/error	simdutf::result::is_ok	bool is_ok() const noexcept	include/simdutf/error.h:89	always	mapped semantic value helper	Result.IsOK	func (r Result) IsOK() bool	public value	none	bool	reports Error == SUCCESS	not_applicable	value receiver/read-only value	include/simdutf/error.h	not_applicable: inline value helper	not_applicable: inline value helper	tests; exact helper semantics required in Go	not_applicable: no accelerated variant	not_applicable: constant-time helper has no upstream procedure	implemented	611becc-current-api	not_applicable
Result/error	simdutf::result::is_err	bool is_err() const noexcept	include/simdutf/error.h:93	always	mapped semantic value helper	Result.IsErr	func (r Result) IsErr() bool	public value	none	bool	reports Error != SUCCESS	not_applicable	value receiver/read-only value	include/simdutf/error.h	not_applicable: inline value helper	not_applicable: inline value helper	tests; exact helper semantics required in Go	not_applicable: no accelerated variant	not_applicable: constant-time helper has no upstream procedure	implemented	611becc-current-api	not_applicable
Result/error	simdutf::full_result::operator result	operator result() const noexcept	include/simdutf/error.h:117	always	mapped semantic value helper	FullResult.Result	func (r FullResult) Result() Result	public value	none	Result	uses OutputCount on SUCCESS and InputCount on error	not_applicable	value receiver/read-only value	include/simdutf/error.h	not_applicable: inline value helper	not_applicable: inline value helper	tests; exact helper semantics required in Go	not_applicable: no accelerated variant	not_applicable: constant-time helper has no upstream procedure	implemented	611becc-current-api	not_applicable
Encoding detection	simdutf::match_system	bool match_system(endianness) constexpr	include/simdutf/encoding_types.h:42	always	excluded with exact evidence	not_applicable	not_applicable: Go native-endian delegation uses encoding/binary.NativeEndian internally	public value	none	excluded C++ helper	not_applicable	not_applicable	not_applicable	include/simdutf/encoding_types.h	not_applicable: no exported Go symbol	not_applicable: no exported Go symbol	tests; native and explicit-endian equivalence is tested through public operations	not_applicable: no accelerated variant	not_applicable: helper has no upstream benchmark procedure	excluded	upstream-excluded	C++ constexpr native-endian selector helper; Section 5.3 requires internal Go encoding/binary.NativeEndian delegation, not an exported convenience API
C++ mechanics	simdutf::implementation and implementation_list	virtual implementation registry/runtime selector API	include/simdutf/implementation.h:5093-7178	always	excluded with exact evidence	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	excluded	upstream-excluded	C++ OO dispatch/registry; plan Scope explicitly excludes public implementation selectors
C++ mechanics	SIMDUTF_SPAN overloads	std::span/template wrappers for public functions	include/simdutf/implementation.h:72-152; all 126 exact SIMDUTF_SPAN guarded ranges are enumerated in api-manifest.md section Exact SIMDUTF_SPAN exclusion evidence	SIMDUTF_SPAN	excluded with exact evidence	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	excluded	upstream-excluded	C++ pointer/span mechanics collapse to Go slices under plan Section 4; exact pinned ranges and reproduction command are in api-manifest.md
Encoding detection	simdutf::to_std_encoding / simdutf::from_std_encoding / simdutf::native_utf16_encoding / simdutf::native_utf32_encoding / simdutf::from_std_encoding_native	std::text_encoding adapters plus native UTF-16/UTF-32 encoding helpers	include/simdutf/encoding_types.h:68-186	SIMDUTF_HAS_STD_TEXT_ENCODING	excluded with exact evidence	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	excluded	upstream-excluded	plan Scope excludes std::text_encoding integration; native encoding helpers exist only to support that C++ adapter surface
C++ mechanics	SIMDUTF_CPLUSPLUS23 constexpr fixed-string wrappers	consteval/template/constexpr public mechanics	include/simdutf/implementation.h:7263-7334	SIMDUTF_CPLUSPLUS23	excluded with exact evidence	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	excluded	upstream-excluded	compile-time C++ fixed-string facilities are explicitly out of scope
Base64	simdutf::atomic_binary_to_base64	size_t (const char *, size_t, char *, base64_options) noexcept	include/simdutf/implementation.h:4603	SIMDUTF_FEATURE_BASE64 && SIMDUTF_ATOMIC_REF	excluded with exact evidence	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	excluded	upstream-excluded	conditional experimental atomic Base64 API; pinned header lines 4575-4588 and 5010-5014 state it is not default-tested/fuzzed and not documented in the public API
Base64	simdutf::atomic_base64_to_binary_safe	result (const char *, size_t, char *, size_t &, base64_options, last_chunk_handling_options, bool) noexcept	include/simdutf/implementation.h:5034	SIMDUTF_FEATURE_BASE64 && SIMDUTF_ATOMIC_REF	excluded byte-input overload with exact evidence	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	excluded	upstream-excluded	conditional experimental atomic Base64 API; pinned header lines 4575-4588 and 5010-5014 state it is not default-tested/fuzzed and not documented in the public API
Base64	simdutf::atomic_base64_to_binary_safe	result (const char16_t *, size_t, char *, size_t &, base64_options, last_chunk_handling_options, bool) noexcept	include/simdutf/implementation.h:5040	SIMDUTF_FEATURE_BASE64 && SIMDUTF_ATOMIC_REF	excluded UTF-16-input overload with exact evidence	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	excluded	upstream-excluded	conditional experimental atomic Base64 API; pinned header lines 4575-4588 and 5010-5014 state it is not default-tested/fuzzed and not documented in the public API
